ITEM_ID;UNIT_ALL;UNIT;ENEMY_SET;CAT_1;CAT_2;CAT_3;CAT_4;CAT_5_6;CAT_5;CAT_6;b;PROP_CORR
261;U_101;;ES_33;D_2;CAT_2_3;CAT_3_1;0;F_A;F;A;2.165;0.173
262;U_164;U_164;ES_11;D_3;CAT_2_1;CAT_3_5;1;F_A;F;A;-0.785;0.625
263;U_164;U_164;;D_3;CAT_2_1;CAT_3_2;1;F_A;F;A;-1.456;0.732
264;U_164;U_164;;D_3;CAT_2_1;CAT_3_2;1;F_A;F;A;-0.068;0.5
265;U_226;;;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;0.708;0.371
266;U_108;;ES_5;D_2;CAT_2_1;CAT_3_5;0;F_A;F;A;0.686;0.359
267;U_156;U_156;ES_27;D_3;CAT_2_2;CAT_3_4;0;F_A;F;A;0.147;0.473
268;U_156;U_156;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.364;0.563
269;U_43;U_43;ES_25;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;0.21;0.456
270;U_43;U_43;;D_4;CAT_2_1;CAT_3_2;0;F_A;F;A;1.639;0.232
271;U_65;;;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-2.849;0.901
272;U_252;U_252;ES_11;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-1.784;0.777
273;U_252;U_252;;D_3;CAT_2_1;CAT_3_5;0;F_A;F;A;-0.146;0.504
274;U_158;;ES_34;D_2;CAT_2_3;CAT_3_1;0;F_A;F;A;2.532;0.124
275;U_179;U_179;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.023;0.517
276;U_179;U_179;;D_3;CAT_2_2;CAT_3_2;0;F_A;F;A;1.119;0.324
277;U_66;U_66;ES_48;D_1;CAT_2_2;CAT_3_5;0;F_A;F;A;-2.096;0.826
278;U_66;U_66;;D_1;CAT_2_2;CAT_3_2;0;F_A;F;A;-0.413;0.583
279;U_245;;ES_33;D_2;CAT_2_3;CAT_3_1;0;F_A;F;A;2.906;0.099
280;U_47;;ES_48;D_1;CAT_2_2;CAT_3_5;0;F_A;F;A;-0.127;0.51
281;U_107;;ES_5;D_2;CAT_2_1;CAT_3_5;1;F_A;F;A;-0.403;0.569
282;U_240;U_240;ES_25;D_4;CAT_2_1;CAT_3_2;1;F_A;F;A;-0.477;0.564
283;U_240;U_240;;D_4;CAT_2_1;CAT_3_2;1;F_A;F;A;1.368;0.253
284;U_184;;;D_3;CAT_2_1;CAT_3_5;1;G_A;G;A;-1.191;0.696
285;U_32;U_32;ES_13;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.322;0.72
286;U_32;U_32;;D_2;CAT_2_2;CAT_3_5;0;F_A;F;A;-1.486;0.744
